strategy,final_usd_value,final_cash_usd,final_btc_units,final_btc_equivalent,final_btc_close,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,avg_trade_return,win_rate,excess_btc_vs_daily,excess_btc_vs_weekly,check
btc_wick_w48_dd12_sf8_b5_h48,10059.319190998931,10059.319190998931,0,0.15777873894256828,63755.860000000001,2,3514.9825007607387,10.544947502282216,10059.319190998931,0.0059319190998929905,0.05171391509556611,0.021937495473740964,0.5,0.012768864780314637,0.013286583062765145,nearby_parameters
btc_wick_w48_dd12_sf8_b5_h72,10091.757361196765,10091.757361196765,0,0.15828752621636294,63755.860000000001,2,3537.6736382706085,10.613020914811825,10091.757361196765,0.0091757361196764808,0.067259523177545244,0.031896646072565427,0.5,0.013277652054109301,0.013795370336559809,nearby_parameters
btc_wick_w48_dd12_sf8_b5_h96,10030.638266309614,10030.638266309614,0,0.15732888343612045,63755.860000000001,2,3542.3372723986845,10.627011817196053,10030.638266309614,0.0030638266309612749,0.086053835454172334,0.017154029918204972,0.5,0.01231900927386681,0.012836727556317318,nearby_parameters
btc_wick_w48_dd12_sf10_b3_h48,10101.100811262691,10101.100811262691,0,0.15843407666781831,63755.860000000001,2,3981.1370302222681,11.943411090666803,10101.100811262691,0.010110081126269099,0.051698353603363834,0.024402197353543875,1,0.01342420250556467,0.013941920788015177,nearby_parameters
btc_wick_w48_dd12_sf10_b3_h72,10189.383381876025,10189.383381876025,0,0.1598187740213374,63755.860000000001,2,4003.6185483670024,12.010855645101007,10189.383381876025,0.018938338187602488,0.067059717532595542,0.045714466985979585,1,0.014808899859083763,0.015326618141534271,nearby_parameters
btc_wick_w48_dd12_sf10_b3_h96,10111.22339967906,10111.22339967906,0,0.15859284777397811,63755.860000000001,2,3921.8643325656167,11.765592997696851,10111.22339967906,0.011122339967905903,0.085650746055136562,0.026664832801961524,0.5,0.013582973611724475,0.014100691894174983,nearby_parameters
btc_wick_w48_dd12_sf10_b5_h48,9969.651679407305,9969.651679407305,0,0.15637231902145629,63755.860000000001,1,1901.0669253152246,5.7032007759456738,9969.651679407305,-0.0030348320592694655,0.051690767943687987,-0.01596383598520967,0,0.011362444859202653,0.011880163141653161,nearby_parameters
btc_wick_w48_dd12_sf10_b5_h72,9979.1899135198546,9979.1899135198546,0,0.15652192462810249,63755.860000000001,1,1901.0669253152246,5.7032007759456738,9979.1899135198546,-0.0020810086480145262,0.066945962025719785,-0.010946530184169575,0,0.011512050465848855,0.012029768748299363,nearby_parameters
btc_wick_w48_dd12_sf10_b5_h96,9917.3143971014088,9917.3143971014088,0,0.15555141750266421,63755.860000000001,1,1901.0669253152246,5.7032007759456738,9917.3143971014088,-0.0082685602898591171,0.085430346814858171,-0.043494314585913685,0,0.010541543340410575,0.011059261622861083,nearby_parameters
btc_wick_w72_dd10_sf8_b3_h48,10130.374788936742,10130.374788936742,0,0.15889323411113493,63755.860000000001,8,21040.231164708301,63.120693494124907,10130.374788936742,0.013037478893674237,0.07099146373220977,0.012104191654406281,0.5,0.013883359948881291,0.014401078231331799,nearby_parameters
btc_wick_w72_dd10_sf8_b3_h72,10704.25751819895,10704.25751819895,0,0.16789448872933327,63755.860000000001,7,19733.715113156286,59.201145339468873,10704.25751819895,0.070425751819894966,0.070994701824184769,0.033549135282890066,0.8571428571428571,0.022884614567079631,0.023402332849530139,nearby_parameters
btc_wick_w72_dd10_sf8_b3_h96,10432.708951800581,10432.708951800581,0,0.16363529488584391,63755.860000000001,7,18810.116748623434,56.430350245870287,10432.708951800581,0.043270895180058222,0.085614306684218877,0.015921915121324348,0.42857142857142855,0.018625420723590275,0.019143139006040782,nearby_parameters
btc_wick_w72_dd10_sf8_b5_h48,10077.031959167718,10077.031959167718,0,0.15805656074857619,63755.860000000001,7,19554.802801107558,58.664408403322682,10077.031959167718,0.0077031959167717101,0.072406926846999009,0.0041458013039275491,0.42857142857142855,0.013046686586322548,0.013564404868773056,nearby_parameters
btc_wick_w72_dd10_sf8_b5_h72,10304.66899804841,10304.66899804841,0,0.16162700962779594,63755.860000000001,6,18014.023525266501,54.042070575799499,10304.66899804841,0.030466899804840963,0.07248112991581146,0.01490006676159796,0.66666666666666663,0.016617135465542304,0.017134853747992812,nearby_parameters
btc_wick_w72_dd10_sf8_b5_h96,10380.500706348626,10380.500706348626,0,0.16281641728852259,63755.860000000001,6,17650.196222592782,52.950588667778348,10380.500706348626,0.038050070634862543,0.085298610556951315,0.0095779094045101067,0.66666666666666663,0.017806543126268948,0.018324261408719456,nearby_parameters
btc_wick_w72_dd10_sf10_b3_h48,9879.8160805682073,9879.8160805682073,0,0.15496326267998278,63755.860000000001,7,18871.958937334013,56.615876812002043,9879.8160805682073,-0.012018391943179219,0.076795511779802039,0.0011644358936737658,0.42857142857142855,0.0099533885177291448,0.010471106800179653,nearby_parameters
btc_wick_w72_dd10_sf10_b3_h72,10211.159088088285,10211.159088088285,0,0.16016032233097138,63755.860000000001,7,18813.974081420198,56.441922244260596,10211.159088088285,0.02111590880882841,0.0962476953596203,0.0097020447661541522,0.5714285714285714,0.015150448168717745,0.015668166451168253,nearby_parameters
btc_wick_w72_dd10_sf10_b3_h96,10307.595534181892,10307.595534181892,0,0.16167291185754362,63755.860000000001,7,19046.730245026727,57.140190735080182,10307.595534181892,0.030759553418189256,0.096291690741086788,0.015041398335967722,0.42857142857142855,0.016663037695289984,0.017180755977740492,nearby_parameters
btc_wick_w72_dd10_sf10_b5_h48,10133.096195538041,10133.096195538041,0,0.15893591891848122,63755.860000000001,4,10414.651968901562,31.243955906704684,10133.096195538041,0.013309619553804053,0.076709910479495158,0.0017678500664728711,0.5,0.013926044756227579,0.014443763038678087,nearby_parameters
btc_wick_w72_dd10_sf10_b5_h72,9899.1265226983305,9899.1265226983305,0,0.15526614373483991,63755.860000000001,4,10414.01714621911,31.242051438657331,9899.1265226983305,-0.010087347730166951,0.096287300439154122,-0.0095931210112147614,0.25,0.010256269572586268,0.010773987855036776,nearby_parameters
btc_wick_w72_dd10_sf10_b5_h96,10201.977817382034,10201.977817382034,0,0.16001631563564564,63755.860000000001,4,10612.091108006085,31.836273324018254,10201.977817382034,0.020197781738203302,0.096378211765175137,0.011728711806872155,0.5,0.015006441473392002,0.015524159755842509,nearby_parameters
btc_wick_w72_dd12_sf8_b3_h48,10058.77017457,10058.77017457,0,0.15777012771171151,63755.860000000001,6,18002.939831266238,54.008819493798718,10058.77017457,0.0058770174569999778,0.074022271158685538,0.010433586150050078,0.5,0.012760253549457867,0.013277971831908375,nearby_parameters
btc_wick_w72_dd12_sf8_b3_h72,10610.805862782643,10610.805862782643,0,0.16642871514528457,63755.860000000001,6,18460.774102892414,55.382322308677246,10610.805862782643,0.061080586278264404,0.096659565475182507,0.034017067603295648,0.83333333333333337,0.021418840983030929,0.021936559265481437,nearby_parameters
btc_wick_w72_dd12_sf8_b3_h96,10599.60649494378,10599.60649494378,0,0.16625305493399006,63755.860000000001,6,18468.324673665255,55.404974020995759,10599.60649494378,0.059960649494378071,0.096601378041294095,0.034755834695440545,0.5,0.021243180771736425,0.021760899054186933,nearby_parameters
btc_wick_w72_dd12_sf8_b5_h48,10022.68841023124,10022.68841023124,0,0.15720419127326082,63755.860000000001,5,15730.422118706747,47.191266356120238,10022.68841023124,0.0022688410231239686,0.07684288742725176,0.0011327366305390351,0.40000000000000002,0.012194317111007186,0.012712035393457694,nearby_parameters
btc_wick_w72_dd12_sf8_b5_h72,10185.070437148928,10185.070437148928,0,0.15975112620469598,63755.860000000001,5,15652.293038276019,46.956879114828055,10185.070437148928,0.018507043714892868,0.096396574488937348,0.0061324512997803522,0.59999999999999998,0.014741252042442338,0.015258970324892845,nearby_parameters
btc_wick_w72_dd12_sf8_b5_h96,10442.313982435149,10442.313982435149,0,0.16378594818476527,63755.860000000001,5,15899.792900039378,47.699378700118132,10442.313982435149,0.044231398243514963,0.096412506469992887,0.019250642026686561,0.59999999999999998,0.018776074022511635,0.019293792304962143,nearby_parameters
btc_wick_w72_dd12_sf10_b3_h48,9995.7768863070196,9995.7768863070196,0,0.15678208852185541,63755.860000000001,3,5419.2640446724763,16.257792134017429,9995.7768863070196,-0.00042231136929804514,0.07398982135551091,-0.0041510598689410427,0.66666666666666663,0.011772214359601768,0.012289932642052276,nearby_parameters
btc_wick_w72_dd12_sf10_b3_h72,10073.950326049036,10073.950326049036,0,0.15800822584855787,63755.860000000001,3,5429.9941528875679,16.289982458662703,10073.950326049036,0.0073950326049037063,0.096056689628652436,0.0089905583470231889,0.66666666666666663,0.012998351686304227,0.013516069968754735,nearby_parameters
btc_wick_w72_dd12_sf10_b3_h96,10100.867036743159,10100.867036743159,0,0.15843040995358165,63755.860000000001,3,5541.6255213325167,16.624876563997546,10100.867036743159,0.010086703674315967,0.096056689628652436,0.015772671273693344,0.33333333333333331,0.013420535791328014,0.013938254073778522,nearby_parameters
btc_wick_w72_dd12_sf10_b5_h48,9892.4919630846107,9892.4919630846107,0,0.15516208177702584,63755.860000000001,2,3461.8407182726896,10.385522154818069,9892.4919630846107,-0.010750803691538913,0.076510879630259154,-0.031899734401140967,0,0.010152207614772202,0.01066992589722271,nearby_parameters
btc_wick_w72_dd12_sf10_b5_h72,9857.1060016198517,9857.1060016198517,0,0.15460705889027065,63755.860000000001,2,3416.8170844220026,10.250451253266007,9857.1060016198517,-0.014289399838014805,0.095979825734490154,-0.043124621885253567,0,0.0095971847280170164,0.010114903010467524,nearby_parameters
btc_wick_w72_dd12_sf10_b5_h96,9884.2626753826717,9884.2626753826717,0,0.15503300677588963,63755.860000000001,2,3505.6975296956589,10.517092589086976,9884.2626753826717,-0.011573732461732877,0.095979825734490154,-0.032287348678687822,0,0.010023132613635993,0.010540850896086501,nearby_parameters
btc_wick_doubled_cost,10784.778959295963,10784.778959295963,0,0.16915745406455129,63755.860000000001,6,18963.440637538682,113.7806438252321,10784.778959295963,0.07847789592959642,0.070247666136600828,0.045067152356510341,1,0.024147579902297656,0.024665298184748163,doubled_cost_primary
